Authority,disclosure_log,case_management_system,case_management_reduced,rough_people_count,cost_wider_team,cost_all,cost_salary,cost_other,cost_budget
Gwynedd Council,no,Microsoft Access,Microsoft Access,0.8,,,,,
North Warwickshire Borough Council,no,Microsoft Access,Microsoft Access,3,,,,,
Staffordshire County Council,yes,Microsoft Access,Microsoft Access,2,,,,,
Chelmsford City Council,no,Microsoft Access,Microsoft Access,2,,,,,
Angus Council,no,Microsoft Access,Microsoft Access,0,,,,,
Caerphilly County Borough Council,no,Microsoft Access,Microsoft Access,1,,,,,
Dacorum Borough Council,no,Microsoft Access,Microsoft Access,0.3,,,,,
Exeter City Council,no,Microsoft Access,Microsoft Access,0.75,,34295,,,
Hampshire County Council,no,Microsoft Access,Microsoft Access,13,,,,,
Lancaster City Council,no,Microsoft Access,Microsoft Access,2,,,,,
Buckinghamshire County Council,no,Aptean Respond,Aptean Respond,1.5,,,,,
Darlington Borough Council,no,Aptean Respond,Aptean Respond,4.14,,,,,
Essex County Council,yes,Aptean Respond,Aptean Respond,4,,,,,
Nottinghamshire County Council,yes,Aptean Respond,Aptean Respond,5.8,,,,,
Aberdeenshire Council,no,Axlr8,Axlr8,1,,27764.79375,27764.79375,,
Argyll and Bute Council,no,Axlr8,Axlr8,0,,,,,
City of Edinburgh Council,yes,Axlr8,Axlr8,5,,,,,
Wokingham Borough Council,yes,Axlr8,Axlr8,1,,,,,
Horsham District Council,yes,Axlr8,Axlr8,1.81,,,,,
Dudley Council,yes,Axlr8,Axlr8,2,,58500,58500,,
Fife Council,planned,Axlr8,Axlr8,9,303468,,,,Information and Data Protection Team
Glasgow City Council,no,BMC Remedy Action Request System,Other CRM,11.2,,,,,
Braintree District Council,no,Caseworks,Other CRM,2,,,,,
Stoke on Trent City Council,no,CDC Respond Centrepoint,Other CRM,2.8,,,,,
South Kesteven District Council,no,Civica,Civica,0,,,,,
St Albans District Council,no,Civica,Civica,0.65,,,,,
Tandridge District Council,no,Civica,Civica,0,,,,,
West Dunbartonshire Council,yes,Civica,Civica,1,,,,,
Colchester Borough Council,forthcoming,Civica,Civica,2,,,,,
South Hams District Council,no,Civica,Civica,0,,,,,
Bolsover District Council,yes,ComiNo CRM,ComiNo CRM,2,,,,,
North East Derbyshire District Council,yes,ComiNo CRM,ComiNo CRM,3,,,,,
Comhairle nan Eilean Siar,yes,Custom In-House,Custom In-House,0.5,,17138,17138,,
Dundee City Council,no,Custom In-House,Custom In-House,1,,,,,
Greater London Authority,yes,Custom In-House,Custom In-House,3,,146000,146000,,
Oldham Metropolitan Borough Council,no,Custom In-House,Custom In-House,3,,,,,
Isle of Wight Council,no,Custom In-House,Custom In-House,0,,,,,
Nottingham City Council,yes,Custom In-House,Custom In-House,2,,47301,47301,,
Amber Valley Borough Council,yes,Custom In-House,Custom In-House,1,,,,,
Ashford Borough Council,no,Custom In-House,Custom In-House,1,,,,,
Bournemouth Borough Council,no,Custom In-House,Custom In-House,3,,,,,
Brentwood Borough Council,yes,Custom In-House,Custom In-House,0,,,,,Democratic Services
Burnley Borough Council,no,Custom In-House,Custom In-House,15,,,,,
Ceredigion Council,no,Custom In-House,Custom In-House,0,,,,,
Clackmannanshire Council,no,Custom In-House,Custom In-House,0,,,,,
Derby City Council,yes,Custom In-House,Custom In-House,2,,,,,
East Ayrshire Council,no,Custom In-House,Custom In-House,2,,,,,
East Staffordshire Borough Council,no,Custom In-House,Custom In-House,1,,,,,
Falkirk Council,no,Custom In-House,Custom In-House,0,,,,,
Flintshire County Council,no,Custom In-House,Custom In-House,0,,,,,
Gedling Borough Council,yes,Custom In-House,Custom In-House,0.5,,,,,
Great Yarmouth Borough Council,no,Custom In-House,Custom In-House,0,,,,,
Halton Borough Council,no,Custom In-House,Custom In-House,2,,,,,
Kirklees Borough Council,no,Custom In-House,Custom In-House,8.8,,,,,
Lisburn and Castlereagh District Council,no,Custom In-House,Custom In-House,0,,,,,
North Hertfordshire District Council,yes,Custom In-House,Custom In-House,1.5,,,,,
Newham Borough Council,discontinued,Custom In-House,Custom In-House,2,,104000,,,
North Dorset District Council,planned,Custom In-House,Custom In-House,2,,,,,
North Tyneside Metropolitan Borough Council,yes,Custom In-House,Custom In-House,5,,,,,
Pembrokeshire Council,yes,Custom In-House,Custom In-House,2,,,,,
Perth and Kinross Council,no,Custom In-House,Custom In-House,4,204131,,,,
Portsmouth City Council,no,Custom In-House,Custom In-House,2.1,,,,,
Salford City Council,planned,Custom In-House,Custom In-House,10,232281,,,,Information Governance
Rushcliffe Borough Council,no,Custom In-House,Custom In-House,0.9,,,,,
South Ayrshire Council,yes,Custom In-House,Custom In-House,0,,,,,
Stevenage Borough Council,planned,Custom In-House,Custom In-House,0.75,,16000,16000,,
Stratford on Avon District Council,no,Custom In-House,Custom In-House,1,,,,,
Stroud District Council,yes,Custom In-House,Custom In-House,0,,,,,
West Oxfordshire District Council,no,Custom In-House,Custom In-House,4,,,,,
West Sussex County Council,planned,Custom In-House,Custom In-House,0,,,,,
Merthyr Tydfil Council,yes,Custom In-House,Custom In-House,1,,,,,
Basingstoke and Deane Borough Council,yes,Custom In-House,Custom In-House,0,,,,,
Spelthorne Borough Council,no,Custom In-House,Custom In-House,2,,,,,
Worcestershire County Council,no,Custom In-House,Custom In-House,0.3,,,,,
Hounslow Borough Council,planned,CXM,Other CRM,0,,,,,
Northampton Borough Council,no,CycFreedom,CycFreedom,1,,,,,
Hull City Council,no,CycFreedom,CycFreedom,4,124064,,,,Information Governance
Wiltshire Council,yes,Deltascheme RFI,Other CRM,7,,,,,
Guildford Borough Council,no,ecase,Other CRM,11,,,,,
Eden District Council,yes,ESB Agile,Other CRM,0,,,,,
Trafford Metropolitan Borough Council,no,Microsoft Excel,Microsoft Excel,1,,,,,
Isle of Anglesey Council,no,Microsoft Excel,Microsoft Excel,1.5,,,,,
Broxbourne Borough Council,yes,Microsoft Excel,Microsoft Excel,1,,,,,
Cannock Chase District Council,no,Microsoft Excel,Microsoft Excel,0.2,,,,,
Durham County Council,yes,Microsoft Excel,Microsoft Excel,3,,,,,
Inverclyde Council,no,Microsoft Excel,Microsoft Excel,0,,,,,
