council,type,all,foi,eir,online,granted,in_time,ir,ir_original_upheld,ico,ico_original_upheld,vex,granted_p,in_time_p,ir_p,ir_original_upheld_p,ico_p,ico_original_upheld_p,vex_p,wdtk_count,wdtk_calendar,wdtk_count_prior,wdtk_calendar_prior,wdtk_id,wdtk_url
Allerdale District Council,Calendar,728,-,-,-,427,682,2,1,1,-,0,58.65,93.68,0.27,0.14,0.14,0.14,0,29,29,256,256,42,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_29
Amber Valley Borough Council,Calendar,713,-,-,-,549,713,4,4,1,1,0,77,100,0.56,0.56,0.14,0.14,0,39,39,214,214,44,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_3
Antrim and Newtownabbey District Council,Calendar,364,292,72,-,212,338,15,11,1,0,0,58.24,92.86,4.12,3.02,0.27,0,0,18,18,31,31,54905,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_30
Ards and North Down Borough Council,Financial,687,-,-,-,296,643,11,10,9,-,0,43.09,93.6,1.6,1.46,1.31,1.31,0,14,21,48,41,54914,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_31
Arun District Council,Financial,764,-,-,-,-,726,13,10,1,-,0,0,95.03,1.7,1.31,0.13,0.13,0,51,70,332,313,50,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_33
Ashfield District Council,Calendar,680,599,81,-,482,680,2,1,0,0,0,70.88,100,0.29,0.15,0,0,0,31,31,211,211,51,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_34
Ashford Borough Council,Calendar,816,799,17,-,-,701,5,-,0,0,-,0,85.91,0.61,0.61,0,0,0,48,48,260,260,52,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_35
Babergh District Council,Financial,663,-,-,-,634,563,5,4,2,2,0,95.63,84.92,0.75,0.6,0.3,0.3,0,24,35,169,158,54,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_37
Barnet Borough Council,Financial,1731,-,-,https://open.barnet.gov.uk/dataset/freedom-of-information-requests---2017-18,806,577,64,23,6,-,0,46.56,33.33,3.7,1.33,0.35,0.35,0,95,131,1159,1123,59,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_39
Barnsley Metropolitan Borough Council,Financial,1145,-,-,-,-,871,21,15,5,-,4,0,76.07,1.83,1.31,0.44,0.44,0.35,136,181,661,614,60,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_40
Barrow in Furness Borough Council,Calendar,833,-,-,-,779,777,3,0,0,-,0,93.52,93.28,0.36,0,0,0,0,33,33,206,206,61,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_41
Basildon Borough Council,Calendar,721,-,-,-,427,690,-,-,-,-,-,59.22,95.7,95.7,95.7,95.7,95.7,95.7,53,53,315,315,62,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_42
Basingstoke and Deane Borough Council,Calendar,408,-,-,-,-,362,5,3,1,-,1,95.7,88.73,1.23,0.74,0.25,0.25,0.25,35,35,203,203,63,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/foi_statistics_for_2017_43
